Time (hrs),Zone Temp (C),Outside Temp (C),HVAC Power (W),Fabric Loss (W),Air Exchange Loss (W),Solar Gains (W),Internal Gains (W),Window State (0-1)
0.0000,19.7714,0.0000,22858.1252,1781.3268,438.5755,0.0000,0.0000,0.0000
0.0167,19.7764,0.0000,22364.9986,1784.5486,438.6849,0.0000,0.0000,0.0000
0.0333,19.7773,0.0000,22274.2822,1786.2875,438.7051,0.0000,0.0000,0.0000
0.0500,19.7773,0.0000,22265.5245,1787.6168,438.7070,0.0000,0.0000,0.0000
0.0667,19.7773,0.0000,22272.3740,1788.7328,438.7055,0.0000,0.0000,0.0000
0.0833,19.7772,0.0000,22281.0648,1789.6528,438.7035,0.0000,0.0000,0.0000
0.1000,19.7771,0.0000,22288.5560,1790.3683,438.7019,0.0000,0.0000,0.0000
0.1167,19.7771,0.0000,22294.1376,1790.8728,438.7006,0.0000,0.0000,0.0000
0.1333,19.7770,0.0000,22297.5147,1791.1597,438.6999,0.0000,0.0000,0.0000
0.1500,19.7770,0.0000,22298.9845,1791.2453,438.6996,0.0000,0.0000,0.0000
0.1667,19.7770,0.0000,22298.5221,1791.1367,438.6997,0.0000,0.0000,0.0000
0.1833,19.7770,0.0000,22296.1889,1790.8427,438.7002,0.0000,0.0000,0.0000
0.2000,19.7771,0.0000,22292.0747,1790.3730,438.7011,0.0000,0.0000,0.0000
0.2167,19.7771,0.0000,22286.2809,1789.7383,438.7024,0.0000,0.0000,0.0000
0.2333,19.7772,0.0000,22278.9129,1788.9492,438.7040,0.0000,0.0000,0.0000
0.2500,19.7773,0.0000,22270.0770,1788.0164,438.7060,0.0000,0.0000,0.0000
0.2667,19.7774,0.0000,22259.8781,1786.9504,438.7082,0.0000,0.0000,0.0000
0.2833,19.7775,0.0000,22248.4183,1785.7613,438.7108,0.0000,0.0000,0.0000
0.3000,19.7776,0.0000,22235.7957,1784.4589,438.7136,0.0000,0.0000,0.0000
0.3167,19.7778,0.0000,22222.1048,1783.0524,438.7166,0.0000,0.0000,0.0000
0.3333,19.7779,0.0000,22207.4353,1781.5507,438.7199,0.0000,0.0000,0.0000
0.3500,19.7781,0.0000,22191.8725,1779.9622,438.7233,0.0000,0.0000,0.0000
0.3667,19.7782,0.0000,22175.4971,1778.2949,438.7270,0.0000,0.0000,0.0000
0.3833,19.7784,0.0000,22158.3853,1776.5563,438.7308,0.0000,0.0000,0.0000
0.4000,19.7786,0.0000,22140.6090,1774.7533,438.7347,0.0000,0.0000,0.0000
0.4167,19.7788,0.0000,22122.2354,1772.8927,438.7388,0.0000,0.0000,0.0000
0.4333,19.7790,0.0000,22103.3278,1770.9805,438.7430,0.0000,0.0000,0.0000
0.4500,19.7792,0.0000,22083.9455,1769.0227,438.7473,0.0000,0.0000,0.0000
0.4667,19.7794,0.0000,22064.1438,1767.0247,438.7517,0.0000,0.0000,0.0000
0.4833,19.7796,0.0000,22043.9747,1764.9915,438.7561,0.0000,0.0000,0.0000
0.5000,19.7798,0.0000,22023.4867,1762.9279,438.7607,0.0000,0.0000,0.0000
0.5167,19.7800,0.0000,22002.7251,1760.8383,438.7653,0.0000,0.0000,0.0000
0.5333,19.7802,0.0000,21981.7323,1758.7270,438.7699,0.0000,0.0000,0.0000
0.5500,19.7804,0.0000,21960.5478,1756.5976,438.7746,0.0000,0.0000,0.0000
0.5667,19.7806,0.0000,21939.2083,1754.4540,438.7794,0.0000,0.0000,0.0000
0.5833,19.7808,0.0000,21917.7482,1752.2993,438.7841,0.0000,0.0000,0.0000
0.6000,19.7810,0.0000,21896.1989,1750.1368,438.7889,0.0000,0.0000,0.0000
0.6167,19.7813,0.0000,21874.5899,1747.9692,438.7937,0.0000,0.0000,0.0000
0.6333,19.7815,0.0000,21852.9480,1745.7991,438.7985,0.0000,0.0000,0.0000
0.6500,19.7817,0.0000,21831.2987,1743.6291,438.8033,0.0000,0.0000,0.0000
0.6667,19.7819,0.0000,21809.6651,1741.4615,438.8081,0.0000,0.0000,0.0000
0.6833,19.7821,0.0000,21788.0692,1739.2983,438.8129,0.0000,0.0000,0.0000
0.7000,19.7823,0.0000,21766.5314,1737.1417,438.8177,0.0000,0.0000,0.0000
0.7167,19.7825,0.0000,21745.0706,1734.9933,438.8224,0.0000,0.0000,0.0000
