Time (hrs),Zone Temp (C),Outside Temp (C),HVAC Power (W),Fabric Loss (W),Air Exchange Loss (W),Solar Gains (W),Internal Gains (W),Window State (0-1)
0.0000,19.7560,0.0000,24403.1757,1775.8547,438.2328,0.0000,0.0000,0.0000
0.0167,19.7620,0.0000,23797.4687,1779.6222,438.3672,0.0000,0.0000,0.0000
0.0333,19.7663,0.0000,23365.2887,1782.6512,438.4630,0.0000,0.0000,0.0000
0.0500,19.7694,0.0000,23059.3471,1785.0736,438.5309,0.0000,0.0000,0.0000
0.0667,19.7716,0.0000,22841.6448,1787.0029,438.5792,0.0000,0.0000,0.0000
0.0833,19.7731,0.0000,22687.0869,1788.5060,438.6135,0.0000,0.0000,0.0000
0.1000,19.7742,0.0000,22577.5238,1789.6335,438.6378,0.0000,0.0000,0.0000
0.1167,19.7750,0.0000,22499.8403,1790.4261,438.6550,0.0000,0.0000,0.0000
0.1333,19.7755,0.0000,22445.5876,1790.9082,438.6671,0.0000,0.0000,0.0000
0.1500,19.7759,0.0000,22406.3707,1791.1278,438.6758,0.0000,0.0000,0.0000
0.1667,19.7762,0.0000,22377.5538,1791.1090,438.6821,0.0000,0.0000,0.0000
0.1833,19.7764,0.0000,22355.7915,1790.8732,438.6870,0.0000,0.0000,0.0000
0.2000,19.7766,0.0000,22338.6794,1790.4392,438.6908,0.0000,0.0000,0.0000
0.2167,19.7768,0.0000,22324.4985,1789.8243,438.6939,0.0000,0.0000,0.0000
0.2333,19.7769,0.0000,22312.0287,1789.0440,438.6967,0.0000,0.0000,0.0000
0.2500,19.7770,0.0000,22300.4120,1788.1123,438.6993,0.0000,0.0000,0.0000
0.2667,19.7771,0.0000,22289.0533,1787.0424,438.7018,0.0000,0.0000,0.0000
0.2833,19.7772,0.0000,22277.5475,1785.8460,438.7043,0.0000,0.0000,0.0000
0.3000,19.7773,0.0000,22265.6268,1784.5341,438.7070,0.0000,0.0000,0.0000
0.3167,19.7775,0.0000,22253.1216,1783.1171,438.7097,0.0000,0.0000,0.0000
0.3333,19.7776,0.0000,22239.9327,1781.6044,438.7127,0.0000,0.0000,0.0000
0.3500,19.7777,0.0000,22226.0111,1780.0048,438.7158,0.0000,0.0000,0.0000
0.3667,19.7779,0.0000,22211.3425,1778.3265,438.7190,0.0000,0.0000,0.0000
0.3833,19.7780,0.0000,22195.9369,1776.5774,438.7224,0.0000,0.0000,0.0000
0.4000,19.7782,0.0000,22179.8207,1774.7645,438.7260,0.0000,0.0000,0.0000
0.4167,19.7784,0.0000,22163.0312,1772.8945,438.7297,0.0000,0.0000,0.0000
0.4333,19.7785,0.0000,22145.6122,1770.9737,438.7336,0.0000,0.0000,0.0000
0.4500,19.7787,0.0000,22127.6115,1769.0079,438.7376,0.0000,0.0000,0.0000
0.4667,19.7789,0.0000,22109.0784,1767.0025,438.7417,0.0000,0.0000,0.0000
0.4833,19.7791,0.0000,22090.0627,1764.9626,438.7459,0.0000,0.0000,0.0000
0.5000,19.7793,0.0000,22070.6136,1762.8930,438.7502,0.0000,0.0000,0.0000
0.5167,19.7795,0.0000,22050.7787,1760.7979,438.7546,0.0000,0.0000,0.0000
0.5333,19.7797,0.0000,22030.6041,1758.6816,438.7591,0.0000,0.0000,0.0000
0.5500,19.7799,0.0000,22010.1337,1756.5479,438.7636,0.0000,0.0000,0.0000
0.5667,19.7801,0.0000,21989.4093,1754.4004,438.7682,0.0000,0.0000,0.0000
0.5833,19.7803,0.0000,21968.4704,1752.2423,438.7729,0.0000,0.0000,0.0000
0.6000,19.7805,0.0000,21947.3539,1750.0768,438.7776,0.0000,0.0000,0.0000
0.6167,19.7807,0.0000,21926.0947,1747.9066,438.7823,0.0000,0.0000,0.0000
0.6333,19.7810,0.0000,21904.7251,1745.7343,438.7870,0.0000,0.0000,0.0000
0.6500,19.7812,0.0000,21883.2754,1743.5624,438.7918,0.0000,0.0000,0.0000
0.6667,19.7814,0.0000,21861.7738,1741.3932,438.7966,0.0000,0.0000,0.0000
0.6833,19.7816,0.0000,21840.2468,1739.2288,438.8013,0.0000,0.0000,0.0000
0.7000,19.7818,0.0000,21818.7187,1737.0711,438.8061,0.0000,0.0000,0.0000
0.7167,19.7820,0.0000,21797.2127,1734.9220,438.8109,0.0000,0.0000,0.0000
0.7333,19.7822,0.0000,21775.7501,1732.7831,438.8156,0.0000,0.0000,0.0000
0.7500,19.7825,0.0000,21754.3508,1730.6562,438.8204,0.0000,0.0000,0.0000
0.7667,19.7827,0.0000,21733.0335,1728.5427,438.8251,0.0000,0.0000,0.0000
0.7833,19.7829,0.0000,21711.8155,1726.4439,438.8298,0.0000,0.0000,0.0000
0.8000,19.7831,0.0000,21692.4140,1724.4871,438.8341,0.0000,0.0000,0.0000
0.8167,19.7833,0.0000,21673.0248,1722.5480,438.8384,0.0000,0.0000,0.0000
0.8333,19.7835,0.0000,21653.6875,1720.6262,438.8427,0.0000,0.0000,0.0000
0.8500,19.7837,0.0000,21634.4326,1718.7218,438.8470,0.0000,0.0000,0.0000
0.8667,19.7838,0.0000,21615.2844,1716.8355,438.8512,0.0000,0.0000,0.0000
0.8833,19.7840,0.0000,21596.2623,1714.9677,438.8555,0.0000,0.0000,0.0000
0.9000,19.7842,0.0000,21577.3823,1713.1190,438.8596,0.0000,0.0000,0.0000
0.9167,19.7844,0.0000,21558.6579,1711.2899,438.8638,0.0000,0.0000,0.0000
0.9333,19.7846,0.0000,21540.1002,1709.4810,438.8679,0.0000,0.0000,0.0000
0.9500,19.7848,0.0000,21521.7189,1707.6927,438.8720,0.0000,0.0000,0.0000
0.9667,19.7850,0.0000,21503.5221,1705.9253,438.8760,0.0000,0.0000,0.0000
0.9833,19.7851,0.0000,21485.5168,1704.1793,438.8800,0.0000,0.0000,0.0000
1.0000,19.7853,0.0000,21467.7091,1702.4549,438.8840,0.0000,0.0000,0.0000
1.0167,19.7855,0.0000,21450.1042,1700.7524,438.8879,0.0000,0.0000,0.0000
1.0333,19.7857,0.0000,21432.7066,1699.0721,438.8917,0.0000,0.0000,0.0000
1.0500,19.7858,0.0000,21415.5204,1697.4142,438.8955,0.0000,0.0000,0.0000
1.0667,19.7860,0.0000,21398.5487,1695.7787,438.8993,0.0000,0.0000,0.0000
