Time (hrs),Zone Temp (C),Outside Temp (C),HVAC Power (W),Fabric Loss (W),Air Exchange Loss (W),Solar Gains (W),Internal Gains (W),Window State (0-1)
0.0000,19.7563,0.0000,24365.3683,1772.0735,438.2412,0.0000,0.0000,0.0000
0.0167,19.7624,0.0000,23759.6920,1775.8444,438.3756,0.0000,0.0000,0.0000
0.0333,19.7667,0.0000,23327.5468,1778.8780,438.4714,0.0000,0.0000,0.0000
0.0500,19.7698,0.0000,23021.6463,1781.3063,438.5393,0.0000,0.0000,0.0000
0.0667,19.7720,0.0000,22803.9941,1783.2430,438.5875,0.0000,0.0000,0.0000
0.0833,19.7735,0.0000,22649.4970,1784.7551,438.6218,0.0000,0.0000,0.0000
0.1000,19.7746,0.0000,22540.0073,1785.8934,438.6461,0.0000,0.0000,0.0000
0.1167,19.7754,0.0000,22462.4107,1786.6983,438.6633,0.0000,0.0000,0.0000
0.1333,19.7759,0.0000,22408.2564,1787.1943,438.6753,0.0000,0.0000,0.0000
0.1500,19.7763,0.0000,22369.1525,1787.4293,438.6840,0.0000,0.0000,0.0000
0.1667,19.7766,0.0000,22340.4632,1787.4274,438.6904,0.0000,0.0000,0.0000
0.1833,19.7768,0.0000,22318.8431,1787.2098,438.6952,0.0000,0.0000,0.0000
0.2000,19.7770,0.0000,22301.8875,1786.7955,438.6989,0.0000,0.0000,0.0000
0.2167,19.7771,0.0000,22287.8770,1786.2016,438.7020,0.0000,0.0000,0.0000
0.2333,19.7772,0.0000,22275.5910,1785.4434,438.7048,0.0000,0.0000,0.0000
0.2500,19.7774,0.0000,22264.1711,1784.5351,438.7073,0.0000,0.0000,0.0000
0.2667,19.7775,0.0000,22253.0215,1783.4895,438.7098,0.0000,0.0000,0.0000
0.2833,19.7776,0.0000,22241.7368,1782.3186,438.7123,0.0000,0.0000,0.0000
0.3000,19.7777,0.0000,22230.0484,1781.0332,438.7149,0.0000,0.0000,0.0000
0.3167,19.7778,0.0000,22217.7864,1779.6435,438.7176,0.0000,0.0000,0.0000
0.3333,19.7780,0.0000,22204.8510,1778.1590,438.7205,0.0000,0.0000,0.0000
0.3500,19.7781,0.0000,22191.1925,1776.5885,438.7235,0.0000,0.0000,0.0000
0.3667,19.7782,0.0000,22176.7964,1774.9402,438.7267,0.0000,0.0000,0.0000
0.3833,19.7784,0.0000,22161.6720,1773.2217,438.7300,0.0000,0.0000,0.0000
0.4000,19.7785,0.0000,22145.8455,1771.4401,438.7335,0.0000,0.0000,0.0000
0.4167,19.7787,0.0000,22129.3536,1769.6022,438.7372,0.0000,0.0000,0.0000
0.4333,19.7789,0.0000,22112.2398,1767.7141,438.7410,0.0000,0.0000,0.0000
0.4500,19.7791,0.0000,22094.5513,1765.7815,438.7449,0.0000,0.0000,0.0000
0.4667,19.7792,0.0000,22076.3372,1763.8100,438.7490,0.0000,0.0000,0.0000
0.4833,19.7794,0.0000,22057.6469,1761.8045,438.7531,0.0000,0.0000,0.0000
0.5000,19.7796,0.0000,22038.5293,1759.7698,438.7573,0.0000,0.0000,0.0000
0.5167,19.7798,0.0000,22019.0318,1757.7102,438.7617,0.0000,0.0000,0.0000
0.5333,19.7800,0.0000,21999.2002,1755.6298,438.7661,0.0000,0.0000,0.0000
0.5500,19.7802,0.0000,21979.0783,1753.5326,438.7705,0.0000,0.0000,0.0000
0.5667,19.7804,0.0000,21958.7079,1751.4221,438.7751,0.0000,0.0000,0.0000
0.5833,19.7806,0.0000,21938.1284,1749.3015,438.7796,0.0000,0.0000,0.0000
0.6000,19.7808,0.0000,21917.3767,1747.1740,438.7842,0.0000,0.0000,0.0000
0.6167,19.7810,0.0000,21896.4877,1745.0424,438.7889,0.0000,0.0000,0.0000
0.6333,19.7812,0.0000,21875.4939,1742.9094,438.7935,0.0000,0.0000,0.0000
0.6500,19.7815,0.0000,21854.4258,1740.7774,438.7982,0.0000,0.0000,0.0000
0.6667,19.7817,0.0000,21833.3118,1738.6486,438.8029,0.0000,0.0000,0.0000
0.6833,19.7819,0.0000,21812.1782,1736.5253,438.8076,0.0000,0.0000,0.0000
0.7000,19.7821,0.0000,21791.0498,1734.4094,438.8122,0.0000,0.0000,0.0000
0.7167,19.7823,0.0000,21769.9496,1732.3026,438.8169,0.0000,0.0000,0.0000
0.7333,19.7825,0.0000,21748.8991,1730.2069,438.8216,0.0000,0.0000,0.0000
0.7500,19.7827,0.0000,21727.9183,1728.1236,438.8262,0.0000,0.0000,0.0000
