Time (hrs),Zone Temp (C),Outside Temp (C),HVAC Power (W),Fabric Loss (W),Air Exchange Loss (W),Solar Gains (W),Internal Gains (W),Window State (0-1)
0.0000,19.7718,0.0000,22820.3569,1777.5417,438.5839,0.0000,0.0000,0.0000
0.0167,19.7767,0.0000,22327.2614,1780.7674,438.6933,0.0000,0.0000,0.0000
0.0333,19.7776,0.0000,22236.5949,1782.5118,438.7134,0.0000,0.0000,0.0000
0.0500,19.7777,0.0000,22227.8994,1783.8477,438.7153,0.0000,0.0000,0.0000
0.0667,19.7777,0.0000,22234.8243,1784.9717,438.7138,0.0000,0.0000,0.0000
0.0833,19.7776,0.0000,22243.6044,1785.9010,438.7119,0.0000,0.0000,0.0000
0.1000,19.7775,0.0000,22251.1999,1786.6274,438.7102,0.0000,0.0000,0.0000
0.1167,19.7774,0.0000,22256.9016,1787.1444,438.7089,0.0000,0.0000,0.0000
0.1333,19.7774,0.0000,22260.4091,1787.4451,438.7081,0.0000,0.0000,0.0000
0.1500,19.7774,0.0000,22262.0265,1787.5461,438.7078,0.0000,0.0000,0.0000
0.1667,19.7774,0.0000,22261.7270,1787.4543,438.7078,0.0000,0.0000,0.0000
0.1833,19.7774,0.0000,22259.5710,1787.1785,438.7083,0.0000,0.0000,0.0000
0.2000,19.7774,0.0000,22255.6477,1786.7284,438.7092,0.0000,0.0000,0.0000
0.2167,19.7775,0.0000,22250.0577,1786.1145,438.7104,0.0000,0.0000,0.0000
0.2333,19.7776,0.0000,22242.9059,1785.3475,438.7120,0.0000,0.0000,0.0000
0.2500,19.7777,0.0000,22234.2980,1784.4380,438.7139,0.0000,0.0000,0.0000
0.2667,19.7778,0.0000,22224.3383,1783.3963,438.7161,0.0000,0.0000,0.0000
0.2833,19.7779,0.0000,22213.1281,1782.2325,438.7186,0.0000,0.0000,0.0000
0.3000,19.7780,0.0000,22200.7653,1780.9564,438.7214,0.0000,0.0000,0.0000
0.3167,19.7781,0.0000,22187.3436,1779.5772,438.7243,0.0000,0.0000,0.0000
0.3333,19.7783,0.0000,22172.9524,1778.1037,438.7275,0.0000,0.0000,0.0000
0.3500,19.7784,0.0000,22157.6765,1776.5443,438.7309,0.0000,0.0000,0.0000
0.3667,19.7786,0.0000,22141.5961,1774.9068,438.7345,0.0000,0.0000,0.0000
0.3833,19.7788,0.0000,22124.7871,1773.1987,438.7382,0.0000,0.0000,0.0000
0.4000,19.7789,0.0000,22107.3208,1771.4271,438.7421,0.0000,0.0000,0.0000
0.4167,19.7791,0.0000,22089.2642,1769.5984,438.7461,0.0000,0.0000,0.0000
0.4333,19.7793,0.0000,22070.6801,1767.7190,438.7502,0.0000,0.0000,0.0000
0.4500,19.7795,0.0000,22051.6275,1765.7944,438.7544,0.0000,0.0000,0.0000
0.4667,19.7797,0.0000,22032.1614,1763.8302,438.7588,0.0000,0.0000,0.0000
0.4833,19.7799,0.0000,22012.3333,1761.8313,438.7632,0.0000,0.0000,0.0000
0.5000,19.7801,0.0000,21992.1918,1759.8026,438.7676,0.0000,0.0000,0.0000
0.5167,19.7803,0.0000,21971.7819,1757.7485,438.7722,0.0000,0.0000,0.0000
0.5333,19.7805,0.0000,21951.1459,1755.6730,438.7767,0.0000,0.0000,0.0000
0.5500,19.7807,0.0000,21930.3234,1753.5802,438.7813,0.0000,0.0000,0.0000
0.5667,19.7809,0.0000,21909.3512,1751.4735,438.7860,0.0000,0.0000,0.0000
0.5833,19.7811,0.0000,21888.2635,1749.3563,438.7907,0.0000,0.0000,0.0000
0.6000,19.7813,0.0000,21867.0922,1747.2318,438.7954,0.0000,0.0000,0.0000
0.6167,19.7815,0.0000,21845.8666,1745.1028,438.8001,0.0000,0.0000,0.0000
0.6333,19.7818,0.0000,21824.6142,1742.9720,438.8048,0.0000,0.0000,0.0000
0.6500,19.7820,0.0000,21803.3602,1740.8418,438.8095,0.0000,0.0000,0.0000
0.6667,19.7822,0.0000,21782.1283,1738.7147,438.8142,0.0000,0.0000,0.0000
0.6833,19.7824,0.0000,21760.9403,1736.5926,438.8189,0.0000,0.0000,0.0000
0.7000,19.7826,0.0000,21739.8169,1734.4776,438.8236,0.0000,0.0000,0.0000
0.7167,19.7828,0.0000,21718.7769,1732.3717,438.8283,0.0000,0.0000,0.0000
0.7333,19.7830,0.0000,21697.8383,1730.2764,438.8329,0.0000,0.0000,0.0000
0.7500,19.7832,0.0000,21677.0174,1728.1935,438.8375,0.0000,0.0000,0.0000
0.7667,19.7834,0.0000,21656.3297,1726.1244,438.8421,0.0000,0.0000,0.0000
