Time (hrs),Zone Temp (C),Outside Temp (C),HVAC Power (W),Fabric Loss (W),Air Exchange Loss (W),Solar Gains (W),Internal Gains (W),Window State (0-1)
0.0000,15.0253,5.1020,0.0000,50.2160,3.6690,0.0000,0.0000,0.0000
0.0167,15.0227,5.0895,0.0000,49.7340,3.6739,0.0000,0.0000,0.0000
0.0333,15.0201,5.0770,0.0000,49.2610,3.6788,0.0000,0.0000,0.0000
0.0500,15.0175,5.0645,0.0000,48.7968,3.6838,0.0000,0.0000,0.0000
0.0667,15.0149,5.0520,0.0000,48.3410,3.6887,0.0000,0.0000,0.0000
0.0833,15.0123,5.0395,0.0000,47.8936,3.6937,0.0000,0.0000,0.0000
0.1000,15.0098,5.0270,0.0000,47.4543,3.6987,0.0000,0.0000,0.0000
0.1167,15.0073,5.0145,0.0000,47.0229,3.7037,0.0000,0.0000,0.0000
0.1333,15.0048,5.0020,0.0000,46.5994,3.7087,0.0000,0.0000,0.0000
0.1500,15.0023,4.9895,0.0000,46.1835,3.7138,0.0000,0.0000,0.0000
0.1667,14.9999,4.9770,0.0000,45.7750,3.7188,0.0000,0.0000,0.0000
0.1833,14.9975,4.9645,0.1804,45.3772,3.7238,0.0000,0.0000,0.0000
0.2000,14.9953,4.9520,4.1194,45.0577,3.7290,0.0000,0.0000,0.0000
0.2167,14.9933,4.9395,9.1735,44.8352,3.7343,0.0000,0.0000,0.0000
0.2333,14.9917,4.9270,15.1359,44.7242,3.7397,0.0000,0.0000,0.0000
0.2500,14.9906,4.9145,21.7870,44.7582,3.7454,0.0000,0.0000,0.0000
0.2667,14.9899,4.9020,28.4153,44.8838,3.7512,0.0000,0.0000,0.0000
0.2833,14.9894,4.8895,35.2581,45.1027,3.7572,0.0000,0.0000,0.0000
0.3000,14.9891,4.8770,42.1601,45.4144,3.7632,0.0000,0.0000,0.0000
0.3167,14.9891,4.8645,48.9724,45.8164,3.7693,0.0000,0.0000,0.0000
0.3333,14.9893,4.8520,55.5558,46.3042,3.7756,0.0000,0.0000,0.0000
0.3500,14.9897,4.8395,61.7835,46.8717,3.7820,0.0000,0.0000,0.0000
0.3667,14.9903,4.8270,67.5432,47.5114,3.7884,0.0000,0.0000,0.0000
0.3833,14.9911,4.8145,72.7388,48.2144,3.7950,0.0000,0.0000,0.0000
0.4000,14.9920,4.8020,77.2918,48.9708,3.8016,0.0000,0.0000,0.0000
0.4167,14.9931,4.7895,81.1424,49.7703,3.8083,0.0000,0.0000,0.0000
0.4333,14.9942,4.7770,84.2494,50.6018,3.8150,0.0000,0.0000,0.0000
