Time (hrs),Zone Temp (C),Outside Temp (C),HVAC Power (W),Fabric Loss (W),Air Exchange Loss (W),Solar Gains (W),Internal Gains (W),Window State (0-1)
1.0000,14.9799,4.3520,75.4467,77.8204,4.0221,0.0000,0.0000,0.0000
1.0167,14.9802,4.3470,87.8415,78.4372,4.0397,0.0000,0.0000,0.0000
1.0333,14.9811,4.3420,99.4141,79.2924,4.0577,0.0000,0.0000,0.0000
1.0500,14.9825,4.3370,109.8719,80.3563,4.0760,0.0000,0.0000,0.0000
1.0667,14.9843,4.3320,118.9799,81.5948,4.0946,0.0000,0.0000,0.0000
1.0833,14.9865,4.3270,126.5639,82.9707,4.1136,0.0000,0.0000,0.0000
1.1000,14.9889,4.3220,132.5119,84.4452,4.1327,0.0000,0.0000,0.0000
1.1167,14.9914,4.3170,136.7727,85.9794,4.1520,0.0000,0.0000,0.0000
1.1333,14.9941,4.3120,139.3530,87.5350,4.1715,0.0000,0.0000,0.0000
1.1500,14.9966,4.3070,140.3127,89.0763,4.1910,0.0000,0.0000,0.0000
1.1667,14.9991,4.3020,139.7595,90.5703,4.2106,0.0000,0.0000,0.0000
1.1833,15.0014,4.2970,137.8411,91.9881,4.2302,0.0000,0.0000,0.0000
1.2000,14.9962,4.2920,0.0000,90.3343,4.2469,0.0000,0.0000,0.0000
1.2167,14.9915,4.2870,6.0644,88.8584,4.2632,0.0000,0.0000,0.0000
1.2333,14.9873,4.2820,15.9395,87.6383,4.2800,0.0000,0.0000,0.0000
1.2500,14.9839,4.2770,27.6965,86.7080,4.2971,0.0000,0.0000,0.0000
1.2667,14.9812,4.2720,40.8329,86.0900,4.3146,0.0000,0.0000,0.0000
1.2833,14.9792,4.2670,54.8401,85.7952,4.3326,0.0000,0.0000,0.0000
1.3000,14.9781,4.2620,69.2199,85.8238,4.3511,0.0000,0.0000,0.0000
1.3167,14.9777,4.2570,83.4999,86.1658,4.3701,0.0000,0.0000,0.0000
1.3333,14.9781,4.2520,97.2463,86.8019,4.3895,0.0000,0.0000,0.0000
1.3500,14.9790,4.2470,110.0753,87.7052,4.4092,0.0000,0.0000,0.0000
1.3667,14.9806,4.2420,121.6612,88.8422,4.4294,0.0000,0.0000,0.0000
1.3833,14.9826,4.2370,131.7429,90.1747,4.4499,0.0000,0.0000,0.0000
1.4000,14.9850,4.2320,140.1272,91.6609,4.4707,0.0000,0.0000,0.0000
1.4167,14.9877,4.2270,146.6898,93.2574,4.4917,0.0000,0.0000,0.0000
1.4333,14.9906,4.2220,151.3741,94.9204,4.5129,0.0000,0.0000,0.0000
1.4500,14.9935,4.2170,154.1880,96.6072,4.5342,0.0000,0.0000,0.0000
1.4667,14.9963,4.2120,155.1989,98.2776,4.5556,0.0000,0.0000,0.0000
1.4833,14.9991,4.2070,154.5266,99.8948,4.5770,0.0000,0.0000,0.0000
1.5000,15.0016,4.2020,152.3361,101.4264,4.5985,0.0000,0.0000,0.0000
1.5167,14.9959,4.1970,0.0000,99.5420,4.6165,0.0000,0.0000,0.0000
1.5333,14.9907,4.1920,6.5060,97.8525,4.6341,0.0000,0.0000,0.0000
1.5500,14.9861,4.1870,17.3272,96.4470,4.6521,0.0000,0.0000,0.0000
1.5667,14.9823,4.1820,30.2239,95.3632,4.6706,0.0000,0.0000,0.0000
1.5833,14.9793,4.1770,44.6426,94.6258,4.6896,0.0000,0.0000,0.0000
1.6000,14.9772,4.1720,60.0228,94.2471,4.7091,0.0000,0.0000,0.0000
1.6167,14.9760,4.1670,75.8157,94.2271,4.7291,0.0000,0.0000,0.0000
1.6333,14.9755,4.1620,91.5005,94.5547,4.7496,0.0000,0.0000,0.0000
1.6500,14.9759,4.1570,106.5994,95.2085,4.7705,0.0000,0.0000,0.0000
1.6667,14.9770,4.1520,120.6894,96.1586,4.7920,0.0000,0.0000,0.0000
1.6833,14.9787,4.1470,133.4117,97.3680,4.8138,0.0000,0.0000,0.0000
1.7000,14.9809,4.1420,144.4787,98.7942,4.8360,0.0000,0.0000,0.0000
1.7167,14.9836,4.1370,153.6771,100.3909,4.8585,0.0000,0.0000,0.0000
1.7333,14.9865,4.1320,160.8701,102.1099,4.8812,0.0000,0.0000,0.0000
1.7500,14.9897,4.1270,165.9952,103.9027,4.9042,0.0000,0.0000,0.0000
1.7667,14.9929,4.1220,169.0609,105.7220,4.9272,0.0000,0.0000,0.0000
1.7833,14.9960,4.1170,170.1411,107.5232,4.9504,0.0000,0.0000,0.0000
1.8000,14.9990,4.1120,169.3677,109.2656,4.9735,0.0000,0.0000,0.0000
1.8167,15.0018,4.1070,166.9221,110.9134,4.9966,0.0000,0.0000,0.0000
1.8333,14.9956,4.1020,0.0000,108.7953,5.0157,0.0000,0.0000,0.0000
1.8500,14.9899,4.0970,6.9985,106.8907,5.0344,0.0000,0.0000,0.0000
1.8667,14.9849,4.0920,18.7867,105.2990,5.0536,0.0000,0.0000,0.0000
1.8833,14.9807,4.0870,32.8431,104.0614,5.0733,0.0000,0.0000,0.0000
1.9000,14.9775,4.0820,48.5623,103.2053,5.0935,0.0000,0.0000,0.0000
1.9167,14.9752,4.0770,65.3315,102.7439,5.1142,0.0000,0.0000,0.0000
1.9333,14.9738,4.0720,82.5508,102.6771,5.1356,0.0000,0.0000,0.0000
1.9500,14.9733,4.0670,99.6511,102.9926,5.1575,0.0000,0.0000,0.0000
1.9667,14.9737,4.0620,116.1103,103.6668,5.1799,0.0000,0.0000,0.0000
1.9833,14.9749,4.0570,131.4663,104.6668,5.2028,0.0000,0.0000,0.0000
2.0000,14.9768,4.0520,145.3273,105.9517,5.2262,0.0000,0.0000,0.0000
2.0167,14.9792,4.0362,157.3791,107.5703,5.2422,0.0000,0.0000,0.0000
2.0333,14.9821,4.0203,167.3967,109.3743,5.2585,0.0000,0.0000,0.0000
2.0500,14.9853,4.0045,175.2329,111.3112,5.2750,0.0000,0.0000,0.0000
2.0667,14.9887,3.9887,180.8211,113.3277,5.2916,0.0000,0.0000,0.0000
2.0833,14.9922,3.9728,184.1721,115.3723,5.3083,0.0000,0.0000,0.0000
2.1000,14.9956,3.9570,185.3673,117.3962,5.3250,0.0000,0.0000,0.0000
2.1167,14.9989,3.9412,184.5512,119.3551,5.3417,0.0000,0.0000,0.0000
2.1333,15.0020,3.9253,181.9216,121.2098,5.3583,0.0000,0.0000,0.0000
2.1500,14.9952,3.9095,0.0000,118.9350,5.3701,0.0000,0.0000,0.0000
2.1667,14.9889,3.8937,7.7349,116.8962,5.3816,0.0000,0.0000,0.0000
2.1833,14.9835,3.8778,20.6403,115.2012,5.3935,0.0000,0.0000,0.0000
2.2000,14.9789,3.8620,36.0217,113.8953,5.4060,0.0000,0.0000,0.0000
2.2167,14.9754,3.8462,53.2186,113.0083,5.4190,0.0000,0.0000,0.0000
2.2333,14.9728,3.8303,71.5621,112.5547,5.4326,0.0000,0.0000,0.0000
2.2500,14.9713,3.8145,90.3974,112.5343,5.4467,0.0000,0.0000,0.0000
2.2667,14.9708,3.7987,109.1037,112.9335,5.4615,0.0000,0.0000,0.0000
2.2833,14.9713,3.7828,127.1112,113.7265,5.4767,0.0000,0.0000,0.0000
2.3000,14.9726,3.7670,143.9158,114.8769,5.4925,0.0000,0.0000,0.0000
2.3167,14.9746,3.7512,159.0901,116.3400,5.5087,0.0000,0.0000,0.0000
2.3333,14.9773,3.7353,172.2912,118.0644,5.5253,0.0000,0.0000,0.0000
2.3500,14.9804,3.7195,183.2655,119.9942,5.5422,0.0000,0.0000,0.0000
2.3667,14.9839,3.7037,191.8501,122.0713,5.5593,0.0000,0.0000,0.0000
2.3833,14.9877,3.6878,197.9707,124.2372,5.5766,0.0000,0.0000,0.0000
2.4000,14.9915,3.6720,201.6378,126.4349,5.5940,0.0000,0.0000,0.0000
2.4167,14.9952,3.6562,202.9397,128.6106,5.6114,0.0000,0.0000,0.0000
2.4333,14.9988,3.6403,202.0335,130.7152,5.6287,0.0000,0.0000,0.0000
2.4500,15.0022,3.6245,199.1353,132.7056,5.6459,0.0000,0.0000,0.0000
2.4667,14.9947,3.6087,0.0000,130.1511,5.6577,0.0000,0.0000,0.0000
